id,year,y,x1,x2,post,thresh,count_y
1,2000,5.14,0.1,0.2,0,0.2,2
1,2001,5.29,0.15,0.4,0,0.3,3
1,2002,5.44,0.2,0.6,0,0.4,4
1,2003,5.59,0.25,0.8,0,0.5,2
1,2004,5.94,0.3,0.0,1,0.6,3
1,2005,6.09,0.35,0.2,1,0.7,4
1,2006,6.24,0.4,0.4,1,0.8,2
1,2007,6.39,0.45,0.6,1,0.9,3
2,2000,5.28,0.2,0.4,0,0.4,3
2,2001,5.43,0.25,0.6,0,0.5,4
2,2002,5.58,0.3,0.8,0,0.6,5
2,2003,5.93,0.35,0.0,0,0.7,3
2,2004,6.08,0.4,0.2,1,0.8,4
2,2005,6.23,0.45,0.4,1,0.9,5
2,2006,6.38,0.5,0.6,1,1.0,3
2,2007,6.53,0.55,0.8,1,1.1,4
3,2000,5.12,0.3,0.6,0,0.6,4
3,2001,5.27,0.35,0.8,0,0.7,5
3,2002,5.62,0.4,0.0,0,0.8,6
3,2003,5.77,0.45,0.2,0,0.9,4
3,2004,5.92,0.5,0.4,1,1.0,5
3,2005,6.07,0.55,0.6,1,1.1,6
3,2006,6.22,0.6,0.8,1,1.2,4
3,2007,6.57,0.65,0.0,1,1.3,5
4,2000,5.26,0.4,0.8,0,0.8,5
4,2001,5.61,0.45,0.0,0,0.9,6
4,2002,5.76,0.5,0.2,0,1.0,7
4,2003,5.91,0.55,0.4,0,1.1,5
4,2004,6.06,0.6,0.6,1,1.2,6
4,2005,6.21,0.65,0.8,1,1.3,7
4,2006,6.56,0.7,0.0,1,1.4,5
4,2007,6.71,0.75,0.2,1,1.5,6
5,2000,5.6,0.5,0.0,0,1.0,1
5,2001,5.75,0.55,0.2,0,1.1,2
5,2002,5.9,0.6,0.4,0,1.2,3
5,2003,6.05,0.65,0.6,0,1.3,1
5,2004,6.2,0.7,0.8,1,1.4,2
5,2005,6.55,0.75,0.0,1,1.5,3
5,2006,6.7,0.8,0.2,1,1.6,1
5,2007,6.85,0.85,0.4,1,1.7,2
6,2000,5.44,0.6,0.2,0,1.2,2
6,2001,5.59,0.65,0.4,0,1.3,3
6,2002,5.74,0.7,0.6,0,1.4,4
6,2003,5.89,0.75,0.8,0,1.5,2
6,2004,6.24,0.8,0.0,1,1.6,3
6,2005,6.39,0.85,0.2,1,1.7,4
6,2006,6.54,0.9,0.4,1,1.8,2
6,2007,6.69,0.95,0.6,1,1.9,3
7,2000,5.58,0.7,0.4,0,1.4,3
7,2001,5.73,0.75,0.6,0,1.5,4
7,2002,5.88,0.8,0.8,0,1.6,5
7,2003,6.23,0.85,0.0,0,1.7,3
7,2004,6.38,0.9,0.2,1,1.8,4
7,2005,6.53,0.95,0.4,1,1.9,5
7,2006,6.68,1.0,0.6,1,2.0,3
7,2007,6.83,1.05,0.8,1,2.1,4
8,2000,5.72,0.8,0.6,0,1.6,4
8,2001,5.87,0.85,0.8,0,1.7,5
8,2002,6.22,0.9,0.0,0,1.8,6
8,2003,6.37,0.95,0.2,0,1.9,4
8,2004,6.52,1.0,0.4,1,2.0,5
8,2005,6.67,1.05,0.6,1,2.1,6
8,2006,6.82,1.1,0.8,1,2.2,4
8,2007,7.17,1.15,0.0,1,2.3,5
9,2000,5.56,0.9,0.8,0,1.8,5
9,2001,5.91,0.95,0.0,0,1.9,6
9,2002,6.06,1.0,0.2,0,2.0,7
9,2003,6.21,1.05,0.4,0,2.1,5
9,2004,6.36,1.1,0.6,1,2.2,6
9,2005,6.51,1.15,0.8,1,2.3,7
9,2006,6.86,1.2,0.0,1,2.4,5
9,2007,7.01,1.25,0.2,1,2.5,6
10,2000,5.9,1.0,0.0,0,2.0,1
10,2001,6.05,1.05,0.2,0,2.1,2
10,2002,6.2,1.1,0.4,0,2.2,3
10,2003,6.35,1.15,0.6,0,2.3,1
10,2004,6.5,1.2,0.8,1,2.4,2
10,2005,6.85,1.25,0.0,1,2.5,3
10,2006,7.0,1.3,0.2,1,2.6,1
10,2007,7.15,1.35,0.4,1,2.7,2
11,2000,6.04,1.1,0.2,0,2.2,2
11,2001,6.19,1.15,0.4,0,2.3,3
11,2002,6.34,1.2,0.6,0,2.4,4
11,2003,6.49,1.25,0.8,0,2.5,2
11,2004,6.84,1.3,0.0,1,2.6,3
11,2005,6.99,1.35,0.2,1,2.7,4
11,2006,7.14,1.4,0.4,1,2.8,2
11,2007,7.29,1.45,0.6,1,2.9,3
12,2000,5.88,1.2,0.4,0,2.4,3
12,2001,6.03,1.25,0.6,0,2.5,4
12,2002,6.18,1.3,0.8,0,2.6,5
12,2003,6.53,1.35,0.0,0,2.7,3
12,2004,6.68,1.4,0.2,1,2.8,4
12,2005,6.83,1.45,0.4,1,2.9,5
12,2006,6.98,1.5,0.6,1,3.0,3
12,2007,7.13,1.55,0.8,1,3.1,4
13,2000,6.02,1.3,0.6,0,2.6,4
13,2001,6.17,1.35,0.8,0,2.7,5
13,2002,6.52,1.4,0.0,0,2.8,6
13,2003,6.67,1.45,0.2,0,2.9,4
13,2004,6.82,1.5,0.4,1,3.0,5
13,2005,6.97,1.55,0.6,1,3.1,6
13,2006,7.12,1.6,0.8,1,3.2,4
13,2007,7.47,1.65,0.0,1,3.3,5
14,2000,6.16,1.4,0.8,0,2.8,5
14,2001,6.51,1.45,0.0,0,2.9,6
14,2002,6.66,1.5,0.2,0,3.0,7
14,2003,6.81,1.55,0.4,0,3.1,5
14,2004,6.96,1.6,0.6,1,3.2,6
14,2005,7.11,1.65,0.8,1,3.3,7
14,2006,7.46,1.7,0.0,1,3.4,5
14,2007,7.61,1.75,0.2,1,3.5,6
15,2000,6.2,1.5,0.0,0,3.0,1
15,2001,6.35,1.55,0.2,0,3.1,2
15,2002,6.5,1.6,0.4,0,3.2,3
15,2003,6.65,1.65,0.6,0,3.3,1
15,2004,6.8,1.7,0.8,1,3.4,2
15,2005,7.15,1.75,0.0,1,3.5,3
15,2006,7.3,1.8,0.2,1,3.6,1
15,2007,7.45,1.85,0.4,1,3.7,2
16,2000,6.34,1.6,0.2,0,3.2,2
16,2001,6.49,1.65,0.4,0,3.3,3
16,2002,6.64,1.7,0.6,0,3.4,4
16,2003,6.79,1.75,0.8,0,3.5,2
16,2004,7.14,1.8,0.0,1,3.6,3
16,2005,7.29,1.85,0.2,1,3.7,4
16,2006,7.44,1.9,0.4,1,3.8,2
16,2007,7.59,1.95,0.6,1,3.9,3
17,2000,6.48,1.7,0.4,0,3.4,3
17,2001,6.63,1.75,0.6,0,3.5,4
17,2002,6.78,1.8,0.8,0,3.6,5
17,2003,7.13,1.85,0.0,0,3.7,3
17,2004,7.28,1.9,0.2,1,3.8,4
17,2005,7.43,1.95,0.4,1,3.9,5
17,2006,7.58,2.0,0.6,1,4.0,3
17,2007,7.73,2.05,0.8,1,4.1,4
18,2000,6.32,1.8,0.6,0,3.6,4
18,2001,6.47,1.85,0.8,0,3.7,5
18,2002,6.82,1.9,0.0,0,3.8,6
18,2003,6.97,1.95,0.2,0,3.9,4
18,2004,7.12,2.0,0.4,1,4.0,5
18,2005,7.27,2.05,0.6,1,4.1,6
18,2006,7.42,2.1,0.8,1,4.2,4
18,2007,7.77,2.15,0.0,1,4.3,5
19,2000,6.46,1.9,0.8,0,3.8,5
19,2001,6.81,1.95,0.0,0,3.9,6
19,2002,6.96,2.0,0.2,0,4.0,7
19,2003,7.11,2.05,0.4,0,4.1,5
19,2004,7.26,2.1,0.6,1,4.2,6
19,2005,7.41,2.15,0.8,1,4.3,7
19,2006,7.76,2.2,0.0,1,4.4,5
19,2007,7.91,2.25,0.2,1,4.5,6
20,2000,6.8,2.0,0.0,0,4.0,1
20,2001,6.95,2.05,0.2,0,4.1,2
20,2002,7.1,2.1,0.4,0,4.2,3
20,2003,7.25,2.15,0.6,0,4.3,1
20,2004,7.4,2.2,0.8,1,4.4,2
20,2005,7.75,2.25,0.0,1,4.5,3
20,2006,7.9,2.3,0.2,1,4.6,1
20,2007,8.05,2.35,0.4,1,4.7,2
